,city,latitude,longitude,max_temp,humidity,cloud_cover,wind_speed,country,date
143,Kudymkar,58.71000000007609,54.55999999978667,36.19,93.0,99.0,6.4,RU,2021-04-24 01:51:08
144,Kodiak,41.20000000006712,-150.04000000002725,41.0,81.0,90.0,11.5,US,2021-04-24 01:48:01
145,Victoria,-2.249999999955108,55.75999999978558,79.0,81.0,78.0,13.29,HK,2021-04-24 01:43:57
146,Iquitos,-2.2199999999550926,-74.08000000009633,77.0,94.0,40.0,1.14,PE,2021-04-24 01:47:31
147,Tessalit,22.150000000057375,2.5499999998339717,83.88,8.0,0.0,6.69,ML,2021-04-24 01:47:39
148,Kiunga,-6.169999999957113,138.91999999970994,91.63,56.0,25.0,1.79,PG,2021-04-24 01:48:39
149,Cockburn town,23.82000000005823,-73.07000000009725,78.17,79.0,3.0,17.83,TC,2021-04-24 01:43:55
150,Puerto leguizamo,0.24000000004616595,-74.3400000000961,73.11,97.0,17.0,1.39,CO,2021-04-24 01:51:09
151,Magadan,57.810000000075604,150.92999999969902,28.94,83.0,58.0,2.68,RU,2021-04-24 01:51:10
152,Puerto ayora,-17.92999999996313,-107.42000000006601,77.0,95.0,16.0,5.99,EC,2021-04-24 01:47:06
153,Maceio,-18.199999999963268,-24.470000000141454,75.2,94.0,0.0,2.3,BR,2021-04-24 01:50:10
154,Conde,-11.96999999996008,-37.55000000012956,77.0,88.0,0.0,4.61,BR,2021-04-24 01:51:10
155,Visegrad,43.86000000006848,19.259999999818774,36.0,64.0,0.0,5.75,BA,2021-04-24 01:51:10
156,Qaanaaq,80.66000000008731,-71.76000000009844,17.8,81.0,100.0,5.08,GL,2021-04-24 01:47:57
157,Rawson,-49.31999999997919,-55.980000000112796,54.73,67.0,2.0,16.33,AR,2021-04-24 01:49:31
158,Dunedin,-54.87999999998203,179.69999999967285,55.99,82.0,100.0,5.01,NZ,2021-04-24 01:51:11
159,Sioux lookout,51.040000000072155,-91.68000000008033,28.4,86.0,90.0,10.36,CA,2021-04-24 01:51:11
160,Coahuayana,-0.059999999953987526,-112.81000000006111,73.94,70.0,18.0,1.5,MX,2021-04-24 01:51:04
161,Tabou,-3.8399999999559213,-5.030000000159134,80.02,84.0,94.0,7.27,CI,2021-04-24 01:51:12
162,Hobart,-76.9099999999933,134.9099999997136,60.8,51.0,75.0,12.66,AU,2021-04-24 01:45:02
163,Norman wells,71.0800000000824,-126.120000000049,35.6,32.0,75.0,9.22,CA,2021-04-24 01:50:39
164,Cabo san lucas,12.180000000052274,-115.11000000005902,75.2,50.0,20.0,4.61,MX,2021-04-24 01:51:03
165,Houma,26.60000000005965,-89.94000000008191,72.0,88.0,90.0,16.11,US,2021-04-24 01:51:13
166,Reconquista,-29.08999999996884,-59.54000000010956,66.16,94.0,100.0,4.83,AR,2021-04-24 01:51:11
167,Natal,-3.4399999999557167,-30.52000000013595,82.4,78.0,40.0,9.22,BR,2021-04-24 01:52:14
168,Kahului,28.350000000060547,-150.45000000002688,82.4,51.0,20.0,23.02,US,2021-04-24 01:47:46
169,Krasnyy yar,53.570000000073435,50.66999999979021,44.6,93.0,0.0,6.71,RU,2021-04-24 01:52:14
170,Baran,25.19000000005893,76.41999999976679,82.67,29.0,100.0,8.68,IN,2021-04-24 01:52:15
171,Cowansville,45.020000000069075,-72.6800000000976,51.8,43.0,69.0,8.05,CA,2021-04-24 01:52:15
172,Creel,27.46000000006009,-108.3100000000652,42.93,22.0,0.0,6.64,MX,2021-04-24 01:52:16
173,Alice springs,-26.809999999967673,135.8999999997127,68.0,37.0,0.0,14.97,AU,2021-04-24 01:46:43
174,Mapiri,-14.809999999961533,-68.16000000010172,68.81,98.0,96.0,0.31,BO,2021-04-24 01:52:16
175,Kutum,14.690000000053558,24.19999999981428,76.86,17.0,62.0,9.15,SD,2021-04-24 01:44:27
176,Tautira,-17.299999999962807,-142.8500000000338,82.4,74.0,40.0,10.36,PF,2021-04-24 01:52:17
177,Westport,-36.919999999972845,163.65999999968744,55.4,38.0,1.0,4.61,US,2021-04-24 01:48:42
178,Banda aceh,4.90000000004855,93.46999999975128,84.15,67.0,100.0,11.01,ID,2021-04-24 01:50:40
179,Ola,58.18000000007581,152.54999999969755,29.21,78.0,82.0,3.13,RU,2021-04-24 01:52:17
